;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
;;RC;Flags;;;;;;
;;3BD;Point;;;;;;
;;X;CRC;;;;;;
VERTEX_PFACE;;;;;;;;13;
;Common;;;;;;;;
;;X;CED;;;;;;
;;RC;Flags;;;;;;
;;3BD;point 10;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
VERTEX_PFACE_FACE;;;;;;;;14;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BS;vertex index 1;;;;;;
;;BS;vertex index 2;;;;;;
;;BS;vertex index 3;;;;;;
;;BS;vertex index 4;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
polyline_2d;;;;;;;;15;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BS;flags;;;;;;
;;BS;CURVE TYPE;;;;;;
;;BD;start width;;;;;;
;;BD;end width;;;;;;
;;BT;thickness;;;;;;
;;BD;elevation;;;;;;
;;BE;extrusion;;;;;;
;R2004+;;;;;;;;
;;BL;num objects;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;R13-R2000;;;;;;;;
;;H;vertex first;;;;;;
;;H;vertex last;;;;;;
;R2004+;;;;;;;;
;;H;vertex;;num objects;RANGE;;;
;Common;;;;;;;;
;;H;seqend;;;;;;
;;X;CRC;;;;;;
polyline_3d;;;;;;;;16;
;Common;;;;;;;;
;;X;CED;;;;;;
;;RC;spline flags;;;;;;
;;RC;closed flags;;;;;;
;R2004+;;;;;;;;
;;BL;num objects;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;R13-R2000;;;;;;;;
;;H;vertex first;;;;;;
;;H;vertex last;;;;;;
;R2004+;;;;;;;;
;;H;vertex;;num objects;RANGE;;;
;Common;;;;;;;;
;;H;seqend;;;;;;
;;X;CRC;;;;;;
arc;;;;;;;;17;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;center;;;;;;
;;BD;radius;;;;;;
;;BT;thickness;;;;;;
;;BE;extrusion;;;;;;
;;BD;angle start;;;;;;
;;BD;angle end;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
cIRCLE;;;;;;;;18;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;center;;;;;;
;;BD;radius;;;;;;
;;BT;thickness;;;;;;
;;BE;extrusion;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
LINE;;;;;;;;19;
;Common;;;;;;;;
;;X;CED;;;;;;
;R13-R14;;;;;;;;
;;3BD;START POINT;;;;;;
;;3BD;end point;;;;;;
;R2000+;;;;;;;;
;;B;z flag;;;;;;
;;RD;start point x;;;;;;
;;DD;end point x;10;;;;;
;;RD;start point y;;;;;;
;;DD;end point y;20;;;;;
;;RD;start point z;;z flag; == ;0;;
;;DD;end point z;30;z flag; == ;0;;
;Common;;;;;;;;
;;BT;thickness;;;;;;
;;BE;extrusion;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
dimension_ordinate;;;;;;;;20;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3BD;point 10;;;;;;
;;3BD;point 13;;;;;;
;;3BD;point 14;;;;;;
;;RC;flag 2;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
dimension_linear;;;;;;;;21;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3BD;point 13;;;;;;
;;3BD;point 14;;;;;;
;;3BD;point 10;;;;;;
;;BD;Extension line rotation;;;;;;
;;BD;Dimension rotation;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
dimension_aligned;;;;;;;;;
;Common;;;;;;;22;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3BD;point 13;;;;;;
;;3BD;point 14;;;;;;
;;3BD;point 10;;;;;;
;;BD;Extension line rotation;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
dimension_ang3pt;;;;;;;;23;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3BD;point 10;;;;;;
;;3BD;point 13;;;;;;
;;3BD;point 14;;;;;;
;;3BD;point 15;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
Dimension_ang2ln;;;;;;;;24;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;2RD;POINT 16;;;;;;
;;3BD;POINT 13;;;;;;
;;3BD;POINT 14;;;;;;
;;3BD;POINT 15;;;;;;
;;3BD;POINT 10;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
Dimension_RADIUS;;;;;;;;25;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3RD;POINT 10;;;;;;
;;3BD;POINT 15;;;;;;
;;BD;leader length;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
Dimension_diameter;;;;;;;;26;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CDD;;;;;;
;;3RD;POINT 15;;;;;;
;;3BD;POINT 10;;;;;;
;;BD;leader length;;;;;;
;;X;CEHD;;;;;;
;;H;DIMSTYLE;;;;;;
;;H;anonymous block;;;;;;
;;X;CRC;;;;;;
point;;;;;;;;27;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;point;;;;;;
;;BT;thickness;;;;;;
;;BE;extrusion;;;;;;
;;BD;x axis angle;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
3D_face;;;;;;;;28;
;Common;;;;;;;;
;;X;CED;;;;;;
;R13-R14;;;;;;;;
;;3BD;corner1;;;;;;
;;3BD;corner2;;;;;;
;;3BD;corner3;;;;;;
;;3BD;corner4;;;;end;;
;;BS;Invisible;;;;;;
;R2000+;;;;;;;;
;;B;No_Flag;;;;;;
;;B;Z_Flag;;;;;;
;;RD;Point1_X;;;;;;
;;RD;Point1_Y;;;;;;
;;RD;Point1_Z;;Z_Flag; == ;0;;
;;3DD;Point2;10;;;;;
;;3DD;Point3;11;;;;;
;;3DD;Point4;12;;;;;
;;BS;Invisible;;No_Flag; == ;0;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
Polyline_Pface;;;;;;;;29;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BS;Num_Vertices;;;;;;
;;BS;Num_Faces;;;;;;
;R2004+;;;;;;;;
;;BL;Owned_Object_Count;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;R13-R2000;;;;;;;;
;;H;First_Vertex;;;;;;
;;H;Last_Vertex;;;;;;
;R2004+;;;;;;;;
;;H;Vertex;;Owned_Object_Count;RANGE;;;
;Common;;;;;;;;
;;H;Seqend;;;;;;
;;X;CRC;;;;;;
polyline_mesh;;;;;;;;30;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BS;Flags;;;;;;
;;BS;Curve type;;;;;;
;;BS;m vertex count;;;;;;
;;BS;n vertex count;;;;;;
;;BS;m density;;;;;;
;;BS;n density;;;;;;
;R2004+;;;;;;;;
;;BL;owned object count;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;R13-R2000;;;;;;;;
;;H;first vertex;;;;;;
;;H;last vertex;;;;;;
;R2004+;;;;;;;;
;;H;Vertex;;owned object count;RANGE;;;
;Common;;;;;;;;
;;H;seqend;;;;;;
;;X;CRC;;;;;;
solid;;;;;;;;31;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BT;thickness;;;;;;
;;BD;elevation;;;;;;
;;2RD;corner1;;;;;;
;;2RD;corner2;;;;;;
;;2RD;corner3;;;;;;
;;2RD;corner4;;;;;;
;;BE;extrusion;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
trace;;;;;;;;32;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BT;thickness;;;;;;
;;BD;elevation;;;;;;
;;2RD;corner1;;;;;;
;;2RD;corner2;;;;;;
;;2RD;corner3;;;;;;
;;2RD;corner4;;;;;;
;;BE;extrusion;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
shape;;;;;;;;33;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;insertion point;;;;;;
;;BD;SCALE;;;;;;
;;BD;rotation;;;;;;
;;BD;width factor;;;;;;
;;BD;oblique;;;;;;
;;BD;thickness;;;;;;
;;BS;shapeno;;;;;;
;;3BD;extrusion;;;;;;
;;X;CEHD;;;;;;
;;H;shapefile;;;;;;
;;X;CRC;;;;;;
VIEWPORT;;;;;;;;34;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;center;;;;;;
;;BD;width;;;;;;
;;BD;height;;;;;;
;R2000+;;;;;;;;
;;3BD;view target;;;;;;
;;3BD;view direction;;;;;;
;;BD;view twist angle;;;;;;
;;BD;VIEW HEIGHT;;;;;;
;;BD;lens height;;;;;;
;;BD;front clip z;;;;;;
;;BD;back clip z;;;;;;
;;BD;snap angle;;;;;;
;;2RD;view center;;;;;;
;;2RD;snap base;;;;;;
;;2RD;snap spacing;;;;;;
;;2RD;grid spacing;;;;;;
;;BS;circle zoom;;;;;;
;R2007+;;;;;;;;
;;BS;grid major;;;;;;
;R2000+;;;;;;;;
;;BL;FROZEN LAYER COUNT;;;;;;
;;BL;status flag;;;;;;
;;TV;style sheet;;;;;;
;;RC;render mode;;;;;;
;;B;ucs at origin;;;;;;
