;Version;Bit Type;Variable;Variable;Condition;value
;;B ; DIMSE2;;;
;;B ; DIMALT;;;
;;B ; DIMTOFL;;;
;;B ; DIMSAH;;;
;;B ; DIMTIX;;;
;;B ; DIMSOXD;;;
;;RC ; DIMALTD;;;
;;RC ; DIMZIN;;;
;;B ; DIMSD1;;;
;;B ; DIMSD2;;;
;;RC ; DIMTOLJ;;;
;;RC ; DIMJUST;;;
;;RC ; DIMFIT;;;
;;B ; DIMUPT;;;
;;RC ; DIMTZIN;;;
;;RC ; DIMALTZ;;;
;;RC ; DIMALTTZ;;;
;;RC ; DIMTAD;;;
;;BS ; DIMUNIT;;;
;;BS ; DIMAUNIT;;;
;;BS ; DIMDEC;;;
;;BS ; DIMTDEC;;;
;;BS ; DIMALTU;;;
;;BS ; DIMALTTD;;;
;;H ; DIMTXSTY;;;
;Common;;;;;
;;BD ; DIMSCALE;;;
;;BD ; DIMASZ;;;
;;BD ; DIMEXO;;;
;;BD ; DIMDLI;;;
;;BD ; DIMEXE;;;
;;BD ; DIMRND;;;
;;BD ; DIMDLE;;;
;;BD ; DIMTP;;;
;;BD ; DIMTM;;;
;R2007+;;;;;
;;BD ; DIMFXL;;;
;;BD ; DIMJOGANG;;;
;;BS ; DIMTFILL;;;
;;CMC ; DIMTFILLCLR;;;
;R2000+;;;;;
;;B ; DIMTOL;;;
;;B ; DIMLIM;;;
;;B ; DIMTIH;;;
;;B ; DIMTOH;;;
;;B ; DIMSE1;;;
;;B ; DIMSE2;;;
;;BS ; DIMTAD;;;
;;BS ; DIMZIN;;;
;;BS ; DIMAZIN;;;
;R2007+;;;;;
;;BS ; DIMARCSYM;;;
;Common;;;;;
;;BD ; DIMTXT;;;
;;BD ; DIMCEN;;;
;;BD ; DIMTSZ;;;
;;BD ; DIMALTF;;;
;;BD ; DIMLFAC;;;
;;BD ; DIMTVP;;;
;;BD ; DIMTFAC;;;
;;BD ; DIMGAP;;;
;R13-R14;;;;;
;;T ; DIMPOST;;;
;;T ; DIMAPOST;;;
;;T ; DIMBLK;;;
;;T ; DIMBLK1;;;
;;T ; DIMBLK2;;;
;R2000+;;;;;
;;BD ; DIMALTRND;;;
;;B ; DIMALT;;;
;;BS ; DIMALTD;;;
;;B ; DIMTOFL;;;
;;B ; DIMSAH;;;
;;B ; DIMTIX;;;
;;B ; DIMSOXD;;;
;Common;;;;;
;;CMC ; DIMCLRD;;;
;;CMC ; DIMCLRE;;;
;;CMC ; DIMCLRT;;;
;R2000+;;;;;
;;BS ; DIMADEC;;;
;;BS ; DIMDEC;;;
;;BS ; DIMTDEC;;;
;;BS ; DIMALTU;;;
;;BS ; DIMALTTD;;;
;;BS ; DIMAUNIT;;;
;;BS ; DIMFRAC;;;
;;BS ; DIMLUNIT;;;
;;BS ; DIMDSEP;;;
;;BS ; DIMTMOVE;;;
;;BS ; DIMJUST;;;
;;B ; DIMSD1;;;
;;B ; DIMSD2;;;
;;BS ; DIMTOLJ;;;
;;BS ; DIMTZIN;;;
;;BS ; DIMALTZ;;;
;;BS ; DIMALTTZ;;;
;;B ; DIMUPT;;;
;;BS ; DIMATFIT;;;
;R2007+;;;;;
;;B ; DIMFXLON;;;
;R2010+;;;;;
;;B ; DIMTXTDIRECTION;;;
;;BD ; DIMALTMZF;;;
;;T ; DIMALTMZS;;;
;;BD ; DIMMZF;;;
;;T ; DIMMZS;;;
;R2000+;;;;;
;;H ; DIMTXSTY (hard pointer);;;
;;H ; DIMLDRBLK (hard pointer);;;
;;H ; DIMBLK (hard pointer);;;
;;H ; DIMBLK1 (hard pointer);;;
;;H ; DIMBLK2 (hard pointer);;;
;R2007+;;;;;
;;H ; DIMLTYPE (hard pointer);;;
;;H ; DIMLTEX1 (hard pointer);;;
;;H ; DIMLTEX2 (hard pointer);;;
;R2000+;;;;;
;;BS ; DIMLWD;;;
;;BS ; DIMLWE;;;
;Common;;;;;
;;H ; BLOCK CONTROL OBJECT (hard owner);;;
;;H ; LAYER CONTROL OBJECT (hard owner);;;
;;H ; STYLE CONTROL OBJECT (hard owner);;;
;;H ; LINETYPE CONTROL OBJECT (hard owner);;;
;;H ; VIEW CONTROL OBJECT (hard owner);;;
;;H ; UCS CONTROL OBJECT (hard owner);;;
;;H ; VPORT CONTROL OBJECT (hard owner);;;
;;H ; APPID CONTROL OBJECT (hard owner);;;
;;H ; DIMSTYLE CONTROL OBJECT (hard owner);;;
;R13-R15;;;;;
;;H ; VIEWPORT ENTITY HEADER CONTROL OBJECT (hard owner);;;
;Common;;;;;
;;H ; DICTIONARY_ACAD_GROUP (hard pointer);;;
;;H ; DICTIONARY_ACAD_MLINESTYLE (hard pointer);;;
;;H ; DICTIONARY_NAMED_OBJECTS (hard owner);;;
;R2000+;;;;;
;;BS ; TSTACKALIGN;;;
;;BS ; TSTACKSIZE;;;
;;TV ; HYPERLINKBASE;;;
;;TV ; STYLESHEET;;;
